%# Station Name        Ft. Pierce Inlet
%# Station ID          FPI0901             
%# Orientation         Up (Bottom Mounted)
%# Time Zone           UTC            
%# Approx. Depth       6.6ft / 2.01m  
%# Blank rows indicate missing data. See our data
%# disclaimer online.
%#
%# Date      Time        Speed (knots) Dir (true)
2008 11 27 18 15 00      3.02          82
2008 11 27 18 25 00      3.08          83
2008 11 27 18 35 00      3.04          82
2008 11 27 18 45 00      2.97          82
2008 11 27 18 55 00      2.88          82
2008 11 27 19 05 00      2.81          82
2008 11 27 19 15 00      2.64          81
2008 11 27 19 25 00      2.50          82
2008 11 27 19 35 00      2.41          83
2008 11 27 19 45 00      2.41          81
2008 11 27 19 55 00      2.38          82
2008 11 27 20 05 00      2.28          82
2008 11 27 20 15 00      2.17          80
2008 11 27 20 25 00      2.10          79
2008 11 27 20 35 00      2.03          79
2008 11 27 20 45 00      1.91          79
2008 11 27 20 55 00      1.72          77
2008 11 27 21 05 00      1.58          78
2008 11 27 21 15 00      1.40          79
2008 11 27 21 25 00      1.19          81
2008 11 27 21 35 00      0.87          87
2008 11 27 21 45 00      0.53         102
2008 11 27 21 55 00      0.18          98
2008 11 27 22 05 00      0.12         331
2008 11 27 22 15 00      0.33         255
2008 11 27 22 25 00      0.71         257
2008 11 27 22 35 00      1.01         260
2008 11 27 22 45 00      1.41         258
2008 11 27 22 55 00      1.72         261
2008 11 27 23 05 00      2.02         260
2008 11 27 23 15 00      2.19         259
2008 11 27 23 25 00      2.24         260
2008 11 27 23 35 00      2.25         260
2008 11 27 23 45 00      2.31         260
2008 11 27 23 55 00      2.39         259
2008 11 28 00 05 00      2.33         260
2008 11 28 00 15 00      2.27         260
2008 11 28 00 25 00      2.28         259
2008 11 28 00 35 00      2.26         259
2008 11 28 00 45 00      2.21         259
2008 11 28 00 55 00      2.24         259
2008 11 28 01 05 00      2.04         260
2008 11 28 01 15 00      1.91         259
2008 11 28 01 25 00      1.77         260
2008 11 28 01 35 00      1.66         260
2008 11 28 01 45 00      1.52         260
2008 11 28 01 55 00      1.35         259
2008 11 28 02 05 00      1.20         258
2008 11 28 02 15 00      1.04         261
2008 11 28 02 25 00      0.85         260
2008 11 28 02 35 00      0.59         257
2008 11 28 02 45 00      0.30         251
2008 11 28 02 55 00      0.03         210
2008 11 28 03 05 00      0.37          71
2008 11 28 03 15 00      0.64          74
2008 11 28 03 25 00      1.06          79
2008 11 28 03 35 00      1.50          79
2008 11 28 03 45 00      1.73          79
2008 11 28 03 55 00      2.04          78
2008 11 28 04 05 00      2.40          80
2008 11 28 04 15 00      2.55          81
2008 11 28 04 25 00      2.78          81
2008 11 28 04 35 00      2.82          81
2008 11 28 04 45 00      2.87          81
2008 11 28 04 55 00      2.82          81
2008 11 28 05 05 00      2.79          82
2008 11 28 05 15 00      2.89          81
2008 11 28 05 25 00      2.89          81
2008 11 28 05 35 00      2.93          82
2008 11 28 05 45 00      2.87          82
2008 11 28 05 55 00      2.86          81
2008 11 28 06 05 00      2.85          82
2008 11 28 06 15 00      2.80          81
2008 11 28 06 25 00      2.72          81
2008 11 28 06 35 00      2.71          81
2008 11 28 06 45 00      2.72          80
2008 11 28 06 55 00      2.78          81
2008 11 28 07 05 00      2.67          81
2008 11 28 07 15 00      2.58          80
2008 11 28 07 25 00      2.52          81
2008 11 28 07 35 00      2.40          78
2008 11 28 07 45 00      2.30          78
2008 11 28 07 55 00      2.11          77
2008 11 28 08 05 00      1.91          77
2008 11 28 08 15 00      1.67          79
2008 11 28 08 25 00      1.50          77
2008 11 28 08 35 00      1.43          82
2008 11 28 08 45 00      1.29          82
2008 11 28 08 55 00      0.97          90
2008 11 28 09 05 00      0.57          95
2008 11 28 09 15 00      0.29          72
2008 11 28 09 25 00      0.15           1
2008 11 28 09 35 00      0.31         253
2008 11 28 09 45 00      0.69         255
2008 11 28 09 55 00      0.91         253
2008 11 28 10 05 00      1.35         259
2008 11 28 10 15 00      2.05         260
2008 11 28 10 25 00      2.42         261
2008 11 28 10 35 00      2.56         260
2008 11 28 10 45 00      2.68         259
2008 11 28 10 55 00      2.82         259
2008 11 28 11 05 00      2.81         259
2008 11 28 11 15 00      2.95         258
2008 11 28 11 25 00      2.99         259
2008 11 28 11 35 00      2.94         259
2008 11 28 11 45 00      2.98         258
2008 11 28 11 55 00      3.07         258
2008 11 28 12 05 00      3.02         259
2008 11 28 12 15 00      3.11         259
2008 11 28 12 25 00      3.21         258
2008 11 28 12 35 00      3.20         259
2008 11 28 12 45 00      3.23         258
2008 11 28 12 55 00      3.18         259
2008 11 28 13 05 00      3.14         259
2008 11 28 13 15 00      3.10         258
2008 11 28 13 25 00      3.01         258
2008 11 28 13 35 00      2.94         260
2008 11 28 13 45 00      2.84         259
2008 11 28 13 55 00      2.82         258
2008 11 28 14 05 00      2.73         260
2008 11 28 14 15 00      2.62         259
2008 11 28 14 25 00      2.39         260
2008 11 28 14 35 00      2.27         260
2008 11 28 14 45 00      2.20         259
2008 11 28 14 55 00      2.09         260
2008 11 28 15 05 00      1.97         259
2008 11 28 15 15 00      1.85         261
2008 11 28 15 25 00      1.59         260
2008 11 28 15 35 00      1.33         261
2008 11 28 15 45 00      0.97         264
2008 11 28 15 55 00      0.54         272
2008 11 28 16 05 00      0.07         333
2008 11 28 16 15 00      0.40          60
2008 11 28 16 25 00      0.77          75
2008 11 28 16 35 00      1.28          80
2008 11 28 16 45 00      1.74          79
2008 11 28 16 55 00      1.96          78
2008 11 28 17 05 00      2.21          78
2008 11 28 17 15 00      2.58          80
2008 11 28 17 25 00      2.80          80
2008 11 28 17 35 00      2.92          81
2008 11 28 17 45 00      2.94          82
2008 11 28 17 55 00      2.90          81
2008 11 28 18 05 00      2.89          83
2008 11 28 18 15 00      2.93          83
2008 11 28 18 25 00      2.97          81
